ntaname,prediction_time,prob_active_noise_next_2h,prob_active_complaints_next_2h,prob_high_traffic_volume_next_2h,prob_active_subway_ridership_next_2h,prob_active_subway_transfers_next_2h,crime_last_7d,crashes_last_7d,persons_injured_last_7d,pedestrians_injured_last_7d,cyclists_injured_last_7d,noise_last_24h,complaints_last_24h,subway_ridership_last_24h,traffic_volume_last_24h,temp_f,precip_prob,wind_mph,weather_main,hour,day_of_week,is_weekend,bluesky_noise_signal,bluesky_traffic_signal,bluesky_crowding_signal,bluesky_transit_signal,bluesky_event_signal,bluesky_safety_signal,bluesky_negative_signal,bluesky_post_count,nearby_events_count,nearby_event_titles,nearby_event_types,has_major_event,latitude,longitude
Randall's Island,2026-06-03 01:00:00,0.1520208257084219,0.0558402236543462,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.9,0,5.03,Clouds,1,2,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,10,"NYCFC II vs. Chattanooga FC, NYCFC II vs. Columbus Crew 2, NYCFC II vs. Philadelphia Union II","Sports, Music, Miscellaneous",1,40.79100197882935,-73.9245965627809
Pelham Bay Park,2026-06-03 01:00:00,0.1415935879701409,0.0534352820878299,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,63.59,0,3.96,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.86824933431924,-73.80787616329272
Mount Olivet & All Faiths Cemeteries,2026-06-03 01:00:00,0.1411425901092053,0.0523088167123767,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,64.49,0,6.64,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.71724149811978,-73.89398092071808
Mount Hope,2026-06-03 01:00:00,0.2874364695313836,0.1443802689250503,0.0,8.045574231535826e-05,0.0005358028758276,106.0,0.0,0.0,0.0,0.0,47.0,81.0,9483.0,0.0,64.35,0,3.51,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.84986542679935,-73.9044167675532
Mount Eden-Claremont (West),2026-06-03 01:00:00,0.2243176178056511,0.1052529055896189,0.0,8.045574231535826e-05,0.0005358028758276,128.0,0.0,0.0,0.0,0.0,31.0,76.0,8947.0,0.0,64.33,0,4.0,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.84048001404528,-73.91442830295684
Kew Gardens Hills,2026-06-03 01:00:00,0.1356994472010267,0.106702678009007,0.1640236899653616,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,4372.0,63.95,0,6.04,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"The Governors Ball Music Festival, Governors Ball Music Festival, LVL UP ACADEMY ANNUAL RECITAL","Music, Miscellaneous, Arts & Theatre",1,40.726645861834086,-73.8197929883983
Kingsbridge Heights-Van Cortlandt Village,2026-06-03 01:00:00,0.2459128341245335,0.1811336729359818,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,17.0,55.0,0.0,0.0,63.84,0,3.06,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"Elite Stars Dance Academy 2.0, Elite Dance Stars 3.0, Dance Theatre of Harlem","Arts & Theatre, Music",1,40.877680784626705,-73.89908178590669
Kingsbridge-Marble Hill,2026-06-03 01:00:00,0.2059003752290785,0.0780746933643115,0.0,0.0001335871401219,0.0008784528356341,55.0,0.0,0.0,0.0,0.0,10.0,50.0,11283.0,0.0,64.04,0,3.06,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"Elite Stars Dance Academy 2.0, Elite Dance Stars 3.0, Dance Theatre of Harlem","Arts & Theatre, Music",1,40.88084033728305,-73.90572939582606
Kissena Park,2026-06-03 01:00:00,0.1404388374496688,0.0517860057807843,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,63.37,0,5.61,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,"LVL UP ACADEMY ANNUAL RECITAL, SexBomb Get, Get Aw! US Tour, Santiago Cruz: Sigo En Pie Tour","Arts & Theatre, Music",1,40.745318650839394,-73.80487988772562
LaGuardia Airport,2026-06-03 01:00:00,0.15464344554697,0.0565622131381626,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,64.78,0,5.1,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.774407743506636,-73.87325503157338
Laurelton,2026-06-03 01:00:00,0.1696853696383211,0.0900392555605724,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,62.29,0,6.53,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.67591390706407,-73.74450453188149
Lincoln Terrace Park,2026-06-03 01:00:00,0.1415935879701409,0.0529271065611739,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.87,0,7.2,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.666861000760456,-73.92681581070025
Long Island City-Hunters Point,2026-06-03 01:00:00,0.1349698975034681,0.1836734741922835,0.1807340067580367,0.0200711332224916,0.2333773016837995,36.0,0.0,0.0,0.0,0.0,8.0,111.0,37434.0,5054.0,65.35,0,5.46,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.74537995085192,-73.94890852398585
Longwood,2026-06-03 01:00:00,0.2252465453520133,0.097924608204996,0.0,0.0001644507140461,0.0071221316469861,80.0,0.0,0.0,0.0,0.0,24.0,66.0,10099.0,0.0,64.53,0,4.0,Clouds,1,2,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,40.820968149166184,-73.89656250944937
Lower East Side,2026-06-03 01:00:00,0.1554813445881121,0.0971006311268753,0.2961210769500482,0.0069751372783525,0.0282508928118018,86.0,0.0,0.0,0.0,0.0,37.0,65.0,47807.0,47729.0,65.14,0,5.93,Clouds,1,2,0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,2.0,10,"CALVIN LECOMPTE, The Banksy Museum New York!, Kings & Constables | Homebase | Blindspot | Fallow Days","Music, Arts & Theatre",1,40.716956706486485,-73.98383628254999
Madison,2026-06-03 01:00:00,0.1604416967609263,0.0581596058979091,0.0,0.0004317303701407,0.0016308347228094,16.0,0.0,0.0,0.0,0.0,4.0,30.0,16639.0,0.0,64.89,0,8.63,Clear,1,2,0,0.75,0.375,0.75,0.25,1.0,0.6875,0.3125,4.0,0,0,0,0,40.60491399961341,-73.94813557854792
Manhattanville-West Harlem,2026-06-03 01:00:00,0.1828339675217239,0.0834779557115255,0.0,8.045574231535826e-05,0.0005358028758276,38.0,0.0,0.0,0.0,0.0,10.0,71.0,12681.0,0.0,64.53,0,4.41,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"TEDxHarlem: A State of Mind					, Apollo Presents: A Visible Life, Apollo Works in Process: A Little Light					","Miscellaneous, Arts & Theatre",0,40.81802284173189,-73.95382233670341
Mapleton-Midwood (West),2026-06-03 01:00:00,0.1713798985665404,0.0788134694705792,0.0,8.045574231535826e-05,0.0005358028758276,26.0,0.0,0.0,0.0,0.0,0.0,39.0,3347.0,0.0,64.87,0,8.12,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.61931907656502,-73.9733184879368
Marine Park-Mill Basin-Bergen Beach,2026-06-03 01:00:00,0.1774462409007426,0.0983968536711565,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,6.0,44.0,0.0,0.0,64.85,0,8.21,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.6149762272305,-73.91853650723073
Marine Park-Plumb Island,2026-06-03 01:00:00,0.1436580874346007,0.053014338832533,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,64.81,0,8.66,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.59404855677635,-73.91624691512797
Mariner's Harbor-Arlington-Graniteville,2026-06-03 01:00:00,0.1484752470480806,0.0994065467886289,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,3.0,27.0,0.0,0.0,64.2,0,6.55,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.63133329703422,-74.16736750198088
Maspeth,2026-06-03 01:00:00,0.1809712601012006,0.2344653199158163,0.490406956255517,0.0,0.0,26.0,0.0,0.0,0.0,0.0,7.0,80.0,0.0,8732.0,64.65,0,6.06,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.723062457711904,-73.90512096647356
McGuire Fields,2026-06-03 01:00:00,0.1404388374496688,0.0517860057807843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,64.74,0,8.66,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.61238086308253,-73.8969582779811
Melrose,2026-06-03 01:00:00,0.2333983090225446,0.101218492873417,0.0,0.0001335871401219,0.0008784528356341,109.0,0.0,0.0,0.0,0.0,17.0,62.0,16887.0,0.0,64.6,0,4.52,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.81825968396842,-73.91285016647586
Middle Village,2026-06-03 01:00:00,0.1550844456282608,0.098855243789343,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,6.0,43.0,0.0,0.0,64.56,0,6.08,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.71922298650288,-73.87812709286061
Midtown South-Flatiron-Union Square,2026-06-03 01:00:00,0.2499934133148291,0.1633237698576458,0.0,0.1327946522247617,0.1970752181109188,135.0,0.0,0.0,0.0,0.0,13.0,97.0,238587.0,0.0,65.14,0,5.93,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"STEELY DAN Revue: KING OF THE WORLD Playing Steely Dan's Greatest Hits, Austin Nasso, Schmigadoon!","Music, Arts & Theatre, Undefined",1,40.744042239927616,-73.98975142329161
Midtown-Times Square,2026-06-03 01:00:00,0.3045775585021523,0.2266146536961963,0.0,0.1274394725894883,0.1857437212773871,260.0,0.0,0.0,0.0,0.0,20.0,120.0,124992.0,0.0,64.98,0,5.37,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"The Fear of 13, Maybe Happy Ending, The Lost Boys","Arts & Theatre, Music",1,40.75780178762228,-73.98160905473354
Midwood,2026-06-03 01:00:00,0.1610014239179542,0.1745521344588953,0.0026955118767458,8.045574231535826e-05,0.0005663608602183,34.0,0.0,0.0,0.0,0.0,6.0,46.0,10596.0,6267.0,64.9,0,8.19,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.62036987274759,-73.9555929637257
Morningside Heights,2026-06-03 01:00:00,0.2314306678129506,0.0701802811944066,0.0,0.0042086522941916,0.1080105265218972,26.0,0.0,0.0,0.0,0.0,1.0,17.0,34442.0,0.0,64.72,0,4.41,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5,"TEDxHarlem: A State of Mind					, Apollo Presents: A Visible Life, Apollo Works in Process: A Little Light					","Miscellaneous, Arts & Theatre",0,40.80945886172743,-73.9617643189429
Morris Park,2026-06-03 01:00:00,0.1311505982891152,0.1024417590471408,0.0055038942854472,8.045574231535826e-05,0.0005358028758276,36.0,0.0,0.0,0.0,0.0,3.0,33.0,2000.0,3411.0,63.54,0,3.8,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.851793001466234,-73.85168711454111
Morrisania,2026-06-03 01:00:00,0.196873726675872,0.1715878774247401,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,12.0,60.0,0.0,0.0,64.42,0,4.0,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.827294906295464,-73.90474164697157
Mott Haven-Port Morris,2026-06-03 01:00:00,0.2247890305511647,0.2176125107934258,0.0073948322827589,8.045574231535826e-05,0.0023377637738239,178.0,0.0,0.0,0.0,0.0,20.0,74.0,18207.0,25600.0,64.67,0,4.52,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,"Zedd In The Park NYC - FRIDAY TICKET, FERRY PASS - ZEDD IN THE PARK - FRIDAY ONLY, FERRY PASS - ZEDD IN THE PARK - 2 DAY PASS","Music, Miscellaneous",1,40.80752516272124,-73.91724299376779
Rego Park,2026-06-03 01:00:00,0.144844493344861,0.0530763652526022,0.0,8.045574231535826e-05,0.0005358028758276,16.0,0.0,0.0,0.0,0.0,3.0,21.0,10408.0,0.0,64.58,0,6.08,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"21st Anniversary of ""I'm Wide Awake..."" and ""Digital Ash..."", Bright Eyes w/ Built To Spill, Dave Matthews Band","Music, Undefined",1,40.72623717108875,-73.86341992356039
Kew Gardens,2026-06-03 01:00:00,0.1354773217730574,0.0813814432347788,0.0,8.045574231535826e-05,0.0005358028758276,20.0,0.0,0.0,0.0,0.0,6.0,16.0,7794.0,0.0,64.17,0,6.6,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,The Governors Ball Music Festival,Music,1,40.708033813625875,-73.82875589118534
Richmond Hill,2026-06-03 01:00:00,0.1403067704875492,0.0975068910597537,0.0,8.045574231535826e-05,0.0005663608602183,38.0,0.0,0.0,0.0,0.0,5.0,40.0,4853.0,0.0,64.26,0,6.6,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.69747683893187,-73.83276751315782
Riverdale-Spuyten Duyvil,2026-06-03 01:00:00,0.2251954544299237,0.1879399290627625,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,15.0,55.0,0.0,0.0,63.73,0,2.66,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.89571960550878,-73.90878455488824
Tremont,2026-06-03 01:00:00,0.2643895098428427,0.1567817103390475,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,19.0,61.0,0.0,0.0,64.26,0,3.67,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.84692324416099,-73.89175595752218
Tribeca-Civic Center,2026-06-03 01:00:00,0.2140820794936112,0.1101657662993578,0.0,0.0228971223727737,0.0310171133974306,84.0,0.0,0.0,0.0,0.0,12.0,71.0,93091.0,0.0,65.41,0,5.79,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"The Banksy Museum New York!, Turnpike Troubadours, New Born","Arts & Theatre, Music, Miscellaneous",1,40.71730659694313,-74.00723314864513
United Nations,2026-06-03 01:00:00,0.1224499008167304,0.060414847702753,0.0304029042475603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3923.0,65.1,0,5.37,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"STEELY DAN Revue: KING OF THE WORLD Playing Steely Dan's Greatest Hits, Maybe Happy Ending, The Town Hall Presents Kierra Sheard-Kelly: The Princess of Gospel","Music, Arts & Theatre, Miscellaneous",1,40.7503457256586,-73.96731879512467
University Heights (North)-Fordham,2026-06-03 01:00:00,0.2481846149244602,0.111345194469071,0.0,0.0001033601550465,0.0010112670457775,67.0,0.0,0.0,0.0,0.0,14.0,63.0,6619.0,0.0,64.2,0,3.51,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"Elite Stars Dance Academy 2.0, Elite Dance Stars 3.0, Dance Theatre of Harlem","Arts & Theatre, Music, Sports",1,40.864571306949664,-73.90475287536023
