ntaname,prediction_time,prob_active_noise_next_2h,prob_active_complaints_next_2h,prob_high_traffic_volume_next_2h,prob_active_subway_ridership_next_2h,prob_active_subway_transfers_next_2h,crime_last_7d,crashes_last_7d,persons_injured_last_7d,pedestrians_injured_last_7d,cyclists_injured_last_7d,noise_last_24h,complaints_last_24h,subway_ridership_last_24h,traffic_volume_last_24h,temp_f,precip_prob,wind_mph,weather_main,hour,day_of_week,is_weekend
Highland Park-Cypress Hills Cemeteries (North),2026-06-03 01:00:00,0.14043883744966887,0.05178600578078433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,64.38,0,7.18,Clear,1,2,0
Glendale,2026-06-03 01:00:00,0.2893588613829722,0.23363838510851137,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,18.0,72.0,0.0,0.0,64.38,0,6.64,Clouds,1,2,0
Glen Oaks-Floral Park-New Hyde Park,2026-06-03 01:00:00,0.15079701501126455,0.05882108590109257,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,61.86,0,5.41,Clear,1,2,0
Freshkills Park (South),2026-06-03 01:00:00,0.1415935879701409,0.05292710656117391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,63.37,0,6.11,Clouds,1,2,0
East Flushing,2026-06-03 01:00:00,0.14907029251556903,0.12338725604672501,0.38373937080881243,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,6726.0,63.59,0,5.61,Clouds,1,2,0
East Harlem (North),2026-06-03 01:00:00,0.29385696368490744,0.2011619914122952,0.09081222302246879,0.00997716629320857,0.17691774761836093,137.0,0.0,0.0,0.0,0.0,27.0,94.0,21506.0,1341.0,64.8,0,4.41,Clouds,1,2,0
East Harlem (South),2026-06-03 01:00:00,0.24449175148882005,0.1615774319454648,0.008402959996787005,8.045574231535826e-05,0.0010250854749693972,91.0,0.0,0.0,0.0,0.0,22.0,75.0,25872.0,478.0,64.92,0,4.94,Clouds,1,2,0
East Midtown-Turtle Bay,2026-06-03 01:00:00,0.2128802054930824,0.08135878821142943,0.0,0.057786753792797914,0.052450313307041495,42.0,0.0,0.0,0.0,0.0,4.0,45.0,138411.0,0.0,65.05,0,5.37,Clouds,1,2,0
East New York (North),2026-06-03 01:00:00,0.18490102160819052,0.10303057139419636,0.0,0.0004317303701407062,0.0016308347228094077,122.0,0.0,0.0,0.0,0.0,7.0,73.0,4941.0,0.0,64.67,0,7.18,Clear,1,2,0
East New York-City Line,2026-06-03 01:00:00,0.2437883087515881,0.09525343114999435,0.01073046748704407,8.045574231535826e-05,0.0005358028758276666,69.0,0.0,0.0,0.0,0.0,13.0,59.0,11748.0,3689.0,64.56,0,7.18,Clear,1,2,0
East New York-New Lots,2026-06-03 01:00:00,0.1938355036709646,0.12179494073500613,0.05019578286229738,8.045574231535826e-05,0.0005663608602183528,106.0,0.0,0.0,0.0,0.0,14.0,81.0,7541.0,7231.0,64.76,0,7.7,Clear,1,2,0
East Village,2026-06-03 01:00:00,0.2616478602192078,0.17096990352257307,0.0,0.0063307149081176205,0.039403125139736844,100.0,0.0,0.0,0.0,0.0,44.0,108.0,36740.0,0.0,65.14,0,5.93,Clouds,1,2,0
East Williamsburg,2026-06-03 01:00:00,0.25725551680248543,0.23066143127692582,0.31000924022367277,8.045574231535826e-05,0.003971896566752933,73.0,0.0,0.0,0.0,0.0,22.0,82.0,31800.0,18414.0,65.05,0,6.6,Clouds,1,2,0
Eastchester-Edenwald-Baychester,2026-06-03 01:00:00,0.2077959902817723,0.13269759995163702,0.31162664869972284,8.045574231535826e-05,0.0005358028758276666,75.0,0.0,0.0,0.0,0.0,14.0,46.0,4981.0,6884.0,63.39,0,3.4,Clouds,1,2,0
Elmhurst,2026-06-03 01:00:00,0.29554933866422,0.1786639195102927,0.0,0.039133166684720194,0.21362514643800057,103.0,0.0,0.0,0.0,0.0,35.0,106.0,25921.0,0.0,64.69,0,5.59,Clouds,1,2,0
Far Rockaway-Bayswater,2026-06-03 01:00:00,0.19690611185147328,0.13247977267303362,0.0,0.00013358714012196037,0.0008784528356341989,82.0,0.0,0.0,0.0,0.0,14.0,54.0,3693.0,0.0,62.49,0,7.74,Clear,1,2,0
Ferry Point Park-St. Raymond Cemetery,2026-06-03 01:00:00,0.12298887949387155,0.04976693711092247,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,64.51,0,4.72,Clouds,1,2,0
Financial District-Battery Park City,2026-06-03 01:00:00,0.19100818098165465,0.11221101652554409,0.26765707339660716,0.07763088877307905,0.057288131158606696,58.0,0.0,0.0,0.0,0.0,14.0,94.0,12592.0,7411.0,65.21,0,6.38,Clouds,1,2,0
Flatbush,2026-06-03 01:00:00,0.2696794094150969,0.10559797099430486,0.28147231185036714,0.0004317303701407062,0.0016308347228094077,76.0,0.0,0.0,0.0,0.0,31.0,85.0,13188.0,8780.0,64.96,0,7.72,Clear,1,2,0
Flatbush (West)-Ditmas Park-Parkville,2026-06-03 01:00:00,0.20429243881751746,0.12860017625425216,0.0,0.002630064199180609,0.002367344906177282,30.0,0.0,0.0,0.0,0.0,11.0,84.0,14824.0,0.0,64.96,0,8.12,Clear,1,2,0
Flatlands,2026-06-03 01:00:00,0.1739139889170529,0.0952941953647198,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,3.0,44.0,0.0,0.0,64.9,0,8.19,Clear,1,2,0
Flushing Meadows-Corona Park,2026-06-03 01:00:00,0.2996771106226363,0.1748972520304766,0.2557733018073068,0.010294828285665865,0.07013951967802351,10.0,0.0,0.0,0.0,0.0,5.0,7.0,31537.0,10063.0,64.45,0,6.08,Clouds,1,2,0
Flushing-Willets Point,2026-06-03 01:00:00,0.2672619813836093,0.19585429841903249,0.494052869472404,0.011973340076154977,0.16178719780855433,68.0,0.0,0.0,0.0,0.0,6.0,34.0,51678.0,10277.0,64.72,0,5.61,Clouds,1,2,0
Fordham Heights,2026-06-03 01:00:00,0.29018804037455853,0.07767825192833683,0.0,8.045574231535826e-05,0.0005358028758276666,71.0,0.0,0.0,0.0,0.0,26.0,70.0,12250.0,0.0,64.2,0,3.51,Clouds,1,2,0
Forest Hills,2026-06-03 01:00:00,0.23482611982052148,0.1362407703510624,0.1901888692526784,0.0003877999910367818,0.002158752884157342,48.0,0.0,0.0,0.0,0.0,22.0,87.0,16993.0,1480.0,64.47,0,6.08,Clouds,1,2,0
Forest Park,2026-06-03 01:00:00,0.14043883744966887,0.05178600578078433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,64.29,0,6.6,Clear,1,2,0
Fort Greene,2026-06-03 01:00:00,0.17393410841051266,0.1903264541160013,0.28001848944454183,0.006815458140521535,0.045948042970681814,43.0,0.0,0.0,0.0,0.0,10.0,41.0,17448.0,5789.0,65.01,0,6.49,Clouds,1,2,0
Fort Hamilton,2026-06-03 01:00:00,0.1415935879701409,0.05292710656117391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64.78,0,8.37,Clear,1,2,0
Fort Totten,2026-06-03 01:00:00,0.1415935879701409,0.05292710656117391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,63.32,0,5.21,Clouds,1,2,0
Fresh Meadows-Utopia,2026-06-03 01:00:00,0.15374485169577856,0.057592087665291974,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,63.05,0,5.97,Clear,1,2,0
Freshkills Park (North),2026-06-03 01:00:00,0.1415935879701409,0.053435282087829925,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.36,0,6.31,Clouds,1,2,0
East Flatbush-Remsen Village,2026-06-03 01:00:00,0.17552439543915924,0.11089993622189392,0.09049181982398144,0.0,0.0,51.0,0.0,0.0,0.0,0.0,7.0,31.0,0.0,2846.0,64.89,0,7.76,Clear,1,2,0
Yankee Stadium-Macombs Dam Park,2026-06-03 01:00:00,0.14493720834604967,0.05914027742405497,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,64.45,0,4.0,Clouds,1,2,0
